x plastic strain,x true stress,y plastic strain,y true stress
0.0147,1138.20869,3.56E-04,571.29795
0.01472,1138.5114,3.64E-04,570.58633
0.01474,1138.96947,3.67E-04,571.3844
0.01476,1138.82905,3.73E-04,571.04875
0.01479,1138.93477,3.79E-04,571.3154
0.01481,1138.94777,3.88E-04,571.92034
0.01483,1139.1617,3.98E-04,571.2805
0.01485,1139.13945,4.08E-04,572.35598
0.01487,1139.696,4.23E-04,571.22701
0.0149,1139.50236,4.38E-04,572.5511
0.01492,1139.22448,4.60E-04,571.59926
0.01496,1138.74824,4.93E-04,572.34496
0.01499,1138.75652,5.66E-04,572.17683
